ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
191,289.28105190,-33.54105344,Filler,0.007141,-0.038135,203.0582,289.29972000,-33.51747778,431.0363,-515.5227,3,25,19,0.755,0.388,-1.00000000,-2.00000000,-2.00000000,-2.00000000
229,289.28293166,-33.54057404,Filler,0.005384,-0.036698,203.0582,289.29972000,-33.51747778,431.9075,-509.6886,3,9,26,0.014,0.441,-1.00000000,-2.00000000,-2.00000000,-2.00000000
423,289.28181513,-33.53888942,Filler,0.007513,-0.035081,203.0582,289.29972000,-33.51747778,424.9908,-510.1008,3,29,34,0.298,0.388,-1.00000000,-2.00000000,-2.00000000,-2.00000000
523,289.27076234,-33.53829550,Filler,0.019717,-0.039234,203.0582,289.29972000,-33.51747778,408.7799,-539.1161,3,145,13,0.551,0.999,-1.00000000,-2.00000000,-2.00000000,-2.00000000
569,289.28187758,-33.53805787,Filler,0.007905,-0.034010,203.0582,289.29972000,-33.51747778,422.3695,-508.6425,3,33,39,0.026,0.653,-1.00000000,-2.00000000,-2.00000000,-2.00000000
689,289.28289672,-33.53704798,Filler,0.007366,-0.032288,203.0582,289.29972000,-33.51747778,420.4050,-504.3165,3,27,48,0.885,0.113,-1.00000000,-2.00000000,-2.00000000,-2.00000000
942,289.27098850,-33.53571470,Primary,0.020905,-0.035897,203.0582,289.29972000,-33.51747778,400.6857,-534.5033,3,156,30,0.862,0.399,-1.00000000,-2.00000000,-2.00000000,-2.00000000
1037,289.28057441,-33.53502083,Primary,0.010985,-0.030772,203.0582,289.29972000,-33.51747778,410.8170,-507.4637,3,62,55,0.358,0.561,-1.00000000,-2.00000000,-2.00000000,-2.00000000
1139,289.26534111,-33.53445844,Filler,0.027661,-0.036813,203.0582,289.29972000,-33.51747778,389.3075,-547.8532,3,221,25,0.222,0.905,-1.00000000,-2.00000000,-2.00000000,-2.00000000
1280,289.26059922,-33.53358962,Filler,0.033226,-0.037811,203.0582,289.29972000,-33.51747778,380.3586,-559.3514,3,274,21,0.226,0.009,-1.00000000,-2.00000000,-2.00000000,-2.00000000
1371,289.27825006,-33.53318016,Filler,0.014505,-0.029490,203.0582,289.29972000,-33.51747778,401.8323,-510.9059,3,95,61,0.885,0.865,-1.00000000,-2.00000000,-2.00000000,-2.00000000
1372,289.28607702,-33.53319317,Filler,0.006068,-0.026018,203.0582,289.29972000,-33.51747778,411.9894,-489.7263,3,15,78,0.512,0.913,-1.00000000,-2.00000000,-2.00000000,-2.00000000
1540,289.25383349,-33.53201663,Filler,0.041341,-0.038810,203.0582,289.29972000,-33.51747778,366.5078,-575.2415,3,351,16,0.528,0.111,-1.00000000,-2.00000000,-2.00000000,-2.00000000
1611,289.27534876,-33.53148903,Filler,0.018564,-0.028650,203.0582,289.29972000,-33.51747778,392.5881,-516.1430,3,134,65,0.546,0.998,-1.00000000,-2.00000000,-2.00000000,-2.00000000
1627,289.26214114,-33.53131701,Filler,0.032840,-0.034277,203.0582,289.29972000,-33.51747778,374.9652,-551.6528,3,270,38,0.547,0.371,-1.00000000,-2.00000000,-2.00000000,-2.00000000
